product_id,product_title,rating,total_reviews,price,top_reviews
itm8ebb713b1199f,Samsung Galaxy S25 5G Navy 512 Gb,4.6,62934,"₹92,999","Amazing Camera , performance and software optimisation.||Just loving it. the mobile in hand feels very nice. very good user interface.||Samsung Galaxy S25 is Powerful Phone 📱"
itm8d76a9b476932,Samsung Galaxy S25 Plus 5G Silver Shadow 256 Gb,4.6,6440,"₹74,999",Awesome! Thank you so much. Delivered fast and amazing. good services product.||Excellent||I wanted to experience something new.
itm7c78f4eee8160,Samsung Galaxy S25 Fe 5G Navy 128 Gb,4.6,6131,"₹59,999",Just go for this||Samsung s25 fe excellent phone||Not recommended
itm70d1f331ebbac,Samsung Galaxy S25 5G Silver Shadow 256 Gb,4.6,62934,"₹74,999","Amazing Camera , performance and software optimisation.||Just loving it. the mobile in hand feels very nice. very good user interface.||Samsung Galaxy S25 is Powerful Phone 📱"
itmbe5170f10a29f,Apple Iphone 13 Pro Max Graphite 512 Gb,4.6,62086,"₹1,59,900","This is it, I am in love with my Oh.So.Pro🥰😍||Excellent||Truly a pro max phone!!!"
itm282cb973542f0,Apple Iphone 13 Pro Max Silver 512 Gb,4.6,62086,"₹1,59,900","This is it, I am in love with my Oh.So.Pro🥰😍||Excellent||Truly a pro max phone!!!"
itmcb824a3301158,Apple Iphone 13 Pro Max Sierra Blue 256 Gb,4.6,62086,"₹1,39,900","This is it, I am in love with my Oh.So.Pro🥰😍||Excellent||Truly a pro max phone!!!"
itm8b15a11ea85d7,Apple Iphone 13 Pro Max Gold 128 Gb,4.6,62086,"₹1,29,900","This is it, I am in love with my Oh.So.Pro🥰😍||Excellent||Truly a pro max phone!!!"
itm05ad8e674782a,Apple Iphone 16 Pro Max Natural Titanium 256 Gb,4.7,717909,"₹1,44,990",Excellent.. my dream phone. Just loved it||Best for mobile phone camera 📷||Fully Satisfied with iphone 16 pro max❤️❤️❤️ thank you flipkart ❤️
itm7e75db4f27bd5,Apple Iphone 16 Pro Max Black Titanium 256 Gb,4.7,717909,"₹1,34,900",Excellent.. my dream phone. Just loved it||Best for mobile phone camera 📷||Fully Satisfied with iphone 16 pro max❤️❤️❤️ thank you flipkart ❤️
itmb63439b8f1383,Apple Iphone 16 Pro Max Black Titanium 512 Gb,4.7,717909,"₹1,54,900",Excellent.. my dream phone. Just loved it||Best for mobile phone camera 📷||Fully Satisfied with iphone 16 pro max❤️❤️❤️ thank you flipkart ❤️
itmf37c8dffa4165,Apple Iphone 17 Lavender 256 Gb,4.6,67481,"₹82,900",Nice phone||This is my first I phone 17 this is really good 😊||Go for it much better compared to the previous one and 120 hz display is like😍😮
